"SARPI Real Personal Income by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018"
"00000","United States","1","Real personal income (millions of chained (2012) dollars)",16471691.8
"00000","United States","2","Real per capita personal income (chained (2012) dollars) 2/",50420
"01000","Alabama","1","Real personal income (millions of chained (2012) dollars)",221887.2
"01000","Alabama","2","Real per capita personal income (chained (2012) dollars) 2/",45397
"02000","Alaska","1","Real personal income (millions of chained (2012) dollars)",38826.8
"02000","Alaska","2","Real per capita personal income (chained (2012) dollars) 2/",52816
"04000","Arizona","1","Real personal income (millions of chained (2012) dollars)",305947.3
"04000","Arizona","2","Real per capita personal income (chained (2012) dollars) 2/",42742
"05000","Arkansas","1","Real personal income (millions of chained (2012) dollars)",141932.1
"05000","Arkansas","2","Real per capita personal income (chained (2012) dollars) 2/",47158
"06000","California","1","Real personal income (millions of chained (2012) dollars)",2023347.3
"06000","California","2","Real per capita personal income (chained (2012) dollars) 2/",51274
"08000","Colorado","1","Real personal income (millions of chained (2012) dollars)",303432.3
"08000","Colorado","2","Real per capita personal income (chained (2012) dollars) 2/",53315
"09000","Connecticut","1","Real personal income (millions of chained (2012) dollars)",239213.9
"09000","Connecticut","2","Real per capita personal income (chained (2012) dollars) 2/",66978
"10000","Delaware","1","Real personal income (millions of chained (2012) dollars)",47729.5
"10000","Delaware","2","Real per capita personal income (chained (2012) dollars) 2/",49436
"11000","District of Columbia","1","Real personal income (millions of chained (2012) dollars)",46089.7
"11000","District of Columbia","2","Real per capita personal income (chained (2012) dollars) 2/",65697
"12000","Florida","1","Real personal income (millions of chained (2012) dollars)",984580.1
"12000","Florida","2","Real per capita personal income (chained (2012) dollars) 2/",46346
"13000","Georgia","1","Real personal income (millions of chained (2012) dollars)",488463.1
"13000","Georgia","2","Real per capita personal income (chained (2012) dollars) 2/",46471
"15000","Hawaii","1","Real personal income (millions of chained (2012) dollars)",61930.6
"15000","Hawaii","2","Real per capita personal income (chained (2012) dollars) 2/",43595
"16000","Idaho","1","Real personal income (millions of chained (2012) dollars)",77362.0
"16000","Idaho","2","Real per capita personal income (chained (2012) dollars) 2/",44193
"17000","Illinois","1","Real personal income (millions of chained (2012) dollars)",685680.0
"17000","Illinois","2","Real per capita personal income (chained (2012) dollars) 2/",53893
"18000","Indiana","1","Real personal income (millions of chained (2012) dollars)",328057.2
"18000","Indiana","2","Real per capita personal income (chained (2012) dollars) 2/",48997
"19000","Iowa","1","Real personal income (millions of chained (2012) dollars)",164635.2
